year,PheWAS_code,PheWAS_name,total_burden_in_million,publication,trial,ROI
2011,750,Digestive congenital anomalies,3631.318359,48,1,0.001282169
2011,575.7,Other disorders of gallbladder,1955202.125,137,3,43.70532227
2011,506,Empyema and pneumothorax,766359.6875,477,3,1.928595066
2011,420.22,Chronic pericarditis,171022.5625,363,3,0.126209334
2011,627.3,Postmenopausal atrophic vaginitis,534272.1875,2,0,66957.4375
2011,285.3,Sideroblastic anemia,46841.46484,20,0,51.69916534
2011,278.3,Localized adiposity,158319.9063,81,0,145.8821411
2011,272.12,Hyperglyceridemia,698742,4,0,57406.21875
2011,292.4,Altered mental status,2899262.5,1376,43,0.669659138
2011,198.1,Secondary malignancy of lymph nodes,1623220.875,3700,0,335.7546387
2011,291.4,Specific nonpsychotic mental disorders due to brain damage,485259.5,2193,82,0.0061732
2011,721,Spondylosis and allied disorders,54349.48047,180,3,0.025703805
2011,241.2,Nontoxic multinodular goiter,3021027.75,282,3,50.69301605
2011,281.12,Other vitamin B12 deficiency anemia,437017.7188,167,1,5.338311672
2011,264,Lack of normal physiological development,2328433.25,21,1,1204.619385
2011,651,Multiple gestation,6906957.5,183,0,122904.6875
2011,497,Bronchitis,3517019,126,10,46.23597717
2011,38.1,Gram negative septicemia,3620830.5,605,0,10217.00488
2011,70.1,Viral hepatitis A,32878.45703,139,225,0.000162946
2011,574,Cholelithiasis and cholecystitis,113.0175705,162,12,3.10E-08
2011,250.6,Polyneuropathy in diabetes,213043.6563,385,20,0.027777158
2011,204.1,Lymphoid leukemia,116757.8828,40,111,0.014471431
2011,70,Viral hepatitis,599247.8125,497,227,0.015006262
2011,737.2,Lordosis (acquired),78983.30469,62,0,47.43278503
2011,755.61,Congenital hip dysplasia and deformity,399136.8438,162,2,2.306616783
2011,364.4,Corneal degenerations,248311.8125,48,1,5.995306969
2011,588.1,Renal osteodystrophy,9564.768555,49,1,0.0087139
2011,579,Other symptoms involving abdomen and pelvis,3613778,175,1,348.3440857
2011,327.5,Parasomnia,167178.9531,1045,19,0.006633312
2011,292.2,Mild cognitive impairment,169806.9844,369,0,36.84195328
2011,580.2,Nephrotic syndrome without mention of glomerulonephritis,159349.8438,46,2,1.294567466
2011,946,Anaphylactic shock NOS,900288.5625,437,3,2.905195236
2011,1013,Asphyxia and hypoxemia,1780436.625,1827,18,0.454221904
2011,259.8,Polyglandular dysfunction and related disorders,53380.80078,139,0,9.664821625
2011,242,Thyrotoxicosis with or without goiter,1233399.5,1837,30,0.130106717
2011,287.1,Spontaneous ecchymoses,152797.4219,40,1,2.724029541
2011,743.11,Osteoporosis,2693307.5,1626,50,0.420592546
2011,90,Sexually transmitted infections (not HIV or hepatitis),427869.7188,4266,272,0.000743851
2011,38.3,Bacteremia,748445.5625,1100,11,0.218075156
2011,601,Inflammatory diseases of prostate,52.7938385,139,2,4.70E-08
2011,350.5,Abnormal reflex,50952.84375,81,0,15.11011982
2011,250.24,Type 2 diabetes with neurological manifestations,2356771,385,20,3.399267912
2011,204.2,Myeloid leukemia,96008.5,246,143,0.001235293
2011,753.1,Congenital cataract and lens anomalies,87858.71094,675,42,0.001283443
2011,277.8,Carnitine deficiencies,8814.474609,276,12,0.000110508
2011,289.4,Lymphadenitis,4577056,363,4,67.85458374
2011,741.4,Joint effusions,2363281,4,0,656683.375
2011,149.4,Cancer of larynx,2284116.25,3157,101,0.077137537
2011,275,Disorders of mineral metabolism,20672.86133,637,0,0.316318542
2011,276.8,Polydipsia,53400.26953,0,0,134448.7031
2011,756.1,Congenital anomalies of abdominal wall; diaphram,231291.9688,106,2,1.183717132
2011,741.5,Hemarthrosis,160837.0625,72,0,169.374939
2011,614.31,Acute inflammatory pelvic disease,99837.85156,2,0,2338.105469
2011,285.9,Anemia NOS,7479141,1085,79,3.076503038
2011,599,Other symptoms/disorders or the urinary system,981708.875,314,1,14.32749271
2011,472,Chronic pharyngitis and nasopharyngitis,2251516.5,274,24,3.632966518
2011,362.9,Retinal edema and hypertensive retinopathy,817369.5625,98,0,3213.928467
2011,593.1,Gross hematuria,1593561.5,211,0,5674.196777
2011,939,Atopic/contact dermatitis due to other or unspecified,9199317,2551,58,2.696285725
2011,204.3,Monocytic leukemia,73327.05469,329,145,0.000531363
2011,596,Other disorders of bladder,508640.3125,332,5,0.733334839
2011,313.2,Tics and stuttering,258395.25,184,6,0.284657657
2011,276.6,Fluid overload,201730.9844,0,0,1918734.625
2011,420.4,Rheumatic heart disease NOS,23195.61719,515,4,0.001228348
2011,365.5,Pseudoexfoliation glaucoma,84112.57031,95,1,0.347616851
2011,562.1,Diverticulosis,5398331,190,4,180.3299866
2011,173,Neoplasm of uncertain behavior of skin,9355472,4003,26,3.963456392
2011,365.1,Open-angle glaucoma,4322382.5,507,53,3.277493
2011,741.1,Ankylosis of joint,551618.3125,80,1,17.75339317
2011,250.11,Diabetes type 1 with ketoacidosis or uncontrolled diabetes,4421776.5,2387,112,0.344788104
2011,290,Delirium dementia and amnestic and other cognitive disorders,114884.3359,1731,41,0.000876601
2011,357,Inflammatory and toxic neuropathy,4839731,554,29,6.871425152
2011,619,Noninflammatory female genital disorders,205413.2344,182,4,0.272575617
2011,586.1,Anatomical abnormatilies of kidney and ureters,530698.9375,340,25,0.156156763
2011,514,Abnormal findings examination of lungs,1386892.5,144,2,31.33044434
2011,78,Viral warts & HPV,7183525,1560,17,9.168815613
2011,496.3,Bronchiectasis,571281.875,142,8,1.35275507
2011,276.13,Hyperpotassemia,447881.3125,150,2,3.13674593
2011,255.9,Other disorders of adrenal glands,331154.5,81,0,638.2523193
2011,277.7,Dysmetabolic syndrome X,594669,2209,55,0.01372085
2011,442.3,Aneurysm of artery of lower extremity,174649.5781,395,41,0.008877833
2011,429,Ill-defined descriptions and complications of heart disease,73098.60156,262,5,0.019192528
2011,694,Dyschromia and Vitiligo,346479.375,150,1,3.735794306
2011,389.2,Conductive hearing loss,997695.5625,123,1,37.77495956
2011,368.4,Visual field defects,498624.5,140,3,2.781579256
2011,600,Hyperplasia of prostate,6479771.5,535,19,19.46458054
2011,750.5,Congenital hypertrophic pyloric stenosis,72192.35938,30,0,81.88156891
2011,377,Disorders of optic nerve and visual pathways,361273.9375,421,9,0.162227973
2011,315.1,Learning disorder,77044.95313,702,3,0.01324489
2011,312.3,Impulse control disorder,373784,147,2,2.229298115
2011,427.9,Palpitations,8344021,12,0,2733238
2011,305.2,Eating disorder,1177785.875,831,8,0.98257035
2011,528.7,Sialolithiasis,141096.4063,23,0,407.9293823
2011,966,Poisoning by anticonvulsants and anti-Parkinsonism drugs,76946.53906,1560,2,0.008902756
2011,712,Infective connective tissue disorders,264500.3438,362,3,0.302715838
2011,202.2,Non-Hodgkins lymphoma,11059744,2243,254,1.01222682
2011,715.2,Ankylosing spondylitis,1214690.5,434,19,0.843177795
2011,528.41,Cyst of the salivary gland,135303.1094,11,0,783.9672241
2011,368.7,Disorders of accommodation,19941.05469,144,2,0.00647705
2011,433.5,Cerebral aneurysm,1341276.75,922,8,1.148519397
2011,355.1,Chronic pain syndrome,1707596.5,697,0,1972.428345
2011,578.9,Hemorrhage of gastrointestinal tract,2931109.75,844,14,3.425690413
2011,300.2,Generalized anxiety & phobic disorders,29210.30078,394,11,0.000927358
2011,711.3,Behcet's syndrome,66640.82031,269,1,0.077065602
2011,710.1,Osteomyelitis,671.4991455,427,2,2.48E-06
2011,529,Diseases and other conditions of the tongue,114995.3203,1009,32,0.001930407
2011,496.2,Chronic bronchitis,401611.5938,175,13,0.333996594
2011,296,Mood disorders,3859014.75,661,16,6.634729862
2011,805,Fracture of vertebral column without mention of spinal cord injury,3164182.75,3186,27,0.548556209
2011,707,Chronic ulcer of skin,583.3521729,239,2,3.34E-06
2011,963.1,Antineoplastic and immunosuppressive drugs causing adverse effects,102599.3594,1560,2,0.015828349
2011,353.2,Nerve root lesions,537619.4375,243,10,0.560223579
2011,656,Other perinatal conditions,3579401.5,1689,2,17.79353523
2011,798.1,Chronic fatigue syndrome,514710.5,259,3,1.602185369
2011,599.1,Urinary obstruction,202635.4688,41,0,472.0749207
2011,513.8,Disorders of diaphragm,100578.7188,26,0,183.3755798
2011,240,Simple and unspecified goiter,1415215.125,123,3,25.50396538
2011,513.3,Hypoventilation,64839.19922,81,0,24.46844482
2011,446,Polyarteritis nodosa and allied conditions,475778.5313,432,2,1.229106665
2011,216,Benign neoplasm of skin,13769087,4174,31,6.905972004
2011,985,Toxic effect of other metals,36809.57813,168,0,3.802386522
2011,707.1,Decubitus ulcer,1378038.625,370,11,2.197817802
2011,255.11,Cushing's syndrome,91266.38281,184,8,0.026645103
2011,873,Broken tooth,168094.5313,113,0,117.8853912
2011,782.6,Pallor and flushing,105310.6953,51,7,0.146231607
2011,145.1,Cancer of lip,76905.44531,81,5,0.068708032
2011,753,Congenital anomalies of the eye,126220.0859,377,4,0.049685467
2011,694.2,Other dyschromia,1438397.25,19,0,51315.10938
2011,717,Polymyalgia Rheumatica,231180.0313,43,4,1.461021185
2011,10,Tuberculosis,136325.6094,2390,19,0.001928603
2011,315,Develomental delays and disorders,1137042.5,1472,7,0.590737164
2011,334.1,Spinocerebellar disease,164047.4219,253,7,0.071540646
2011,591,Urinary tract infection,14431844,840,23,50.80567932
2011,378.1,Strabismus (not specified as paralytic),2383872.5,461,3,19.30896187
2011,738.4,Acquired spondylolisthesis,2480101.5,120,4,60.26244354
2011,386.9,Light-headedness and vertigo,10931461,227,2,1234.767334
2011,110.12,Althete's foot,580595.0625,10,9,17.62209511
2011,440,Atherosclerosis,398017.1875,2545,52,0.00564283
2011,705.3,Hidradenitis,455784.6563,4,2,121.5202408
2011,420.2,Pericarditis,541184.125,251,1,5.446874619
2011,960.3,Poisoning by antifungal antibiotics,413.1438293,1560,2,2.57E-07
2011,704.11,Alopecia Areata,268874.3125,88,13,0.297686428
2011,198.3,Secondary malignant neoplasm of digestive systems,1314528.25,404,5,4.025127888
2011,31,Diseases due to other mycobacteria,80027.50781,215,7,0.020034185
2011,227,Benign neoplasm of other endocrine glands and related structures,1776334.5,297,8,6.253391743
2011,360.3,Hypotony of eye,30897.72266,30,0,14.998806
2011,401,Hypertension,83303.58594,5873,314,1.77E-05
2011,851,Complications of transplants and reattached limbs,1471060.375,9763,18,0.058027416
2011,478,Throat pain,694110.25,180,8,1.575424075
2011,159,Malignant neoplasm of other and ill-defined sites within the digestive organs and peritoneum,206458.5156,654,14,0.021933744
2011,277.6,Other deficiencies of circulating enzymes,1397977.5,34,3,90.01128387
2011,540.1,Appendicitis,1091035.625,427,5,2.623443842
2011,1003,Sudden death,23872.05078,337,3,0.002648744
2011,331,Other cerebral degenerations,1080181.75,2345,17,0.137915894
2011,337.1,Peripheral autonomic neuropathy,141998.9844,399,21,0.01134045
2011,185,Cancer of prostate,20915608,5824,182,1.945778251
2011,145.3,Cancer of major salivary glands,533869.6875,463,7,0.414030015
2011,110,Dermatophytosis / Dermatomycosis,330.383728,181,0,0.000284318
2011,255.1,Adrenal hyperfunction,27947.61133,75,5,0.00979946
2011,420.3,Endocarditis,474836.5938,1209,16,0.0549208
2011,963,Poisoning by primarily systemic agents,82499.82031,1560,2,0.010234161
2011,819,Skull fracture and other intercranial injury,4217242,2514,84,0.397034973
2011,250.1,Type 1 diabetes,7672224,2387,112,1.038009286
2011,325,Phlebitis and thrombophlebitis of intracranial venous sinuses,37964.14453,6,0,113.068718
2011,296.1,Bipolar,7931379.5,1514,51,3.840459347
2011,260.6,Anorexia,188013.1094,157,12,0.08838442
2011,752.1,Neural tube defects,68541.15625,407,2,0.027075181
2011,601.3,Orchitis and epididymitis,769660.125,143,0,1952.99585
2011,823,Fracture of tibia and fibula,20597.03906,380,7,0.000750873
2011,671,Venous/cerebrovascular complications embolism in pregnancy and the puerperium,183931.8281,1545,13,0.007935511
2011,599.9,Other abnormality of urination,818462.0625,233,0,1355.477417
2011,440.9,Atherosclerosis of aorta,363803.5938,2443,42,0.006080311
2011,303,Psychogenic and somatoform disorders,11494.67773,172,1,0.003585818
2011,442.1,Aortic aneurysm,1435018,745,29,0.449236006
2011,172.11,Melanomas of skin,4139528,2765,97,0.301202208
2011,560.1,Paralytic ileus,523766.6563,44,1,29.09863663
2011,284,Aplastic anemia,468163.2188,220,16,0.293380022
2011,208,Benign neoplasm of colon,24689042,2071,52,26.68143463
2011,740.9,Osteoarthrosis NOS,14363389,1132,149,5.766574383
2011,283.1,Autoimmune hemolytic anemias,194478.6094,102,1,1.730809212
2011,369,Infection of the eye,349036.1875,796,5,0.144030467
2011,573.5,Jaundice (not of newborn),328179.25,121,4,1.046468854
2011,281.9,Deficiency anemias NOS,314008.6563,452,20,0.051399376
2011,504,Other alveolar and parietoalveolar pneumonopathy,245884.1094,1273,210,0.00106625
2011,459,Other disorders of circulatory system,488035.5,786,21,0.068001486
2011,261.41,Rickets or osteomalacia,84184.46094,104,6,0.05345447
2011,535.8,Other specified gastritis,2581638.25,262,17,7.050797939
2011,444.1,Arterial embolism and thrombosis of lower extremity artery,572330.5,786,21,0.093521044
2011,577.3,Cyst and pseudocyst of pancreas,578528,80,4,4.918467522
2011,803.2,Fracture of radius and ulna,8480210,321,4,263.4024963
2011,458.1,Orthostatic hypotension,895099.4375,97,4,9.710718155
2011,427.4,Cardiac arrest and ventricular fibrillation,38.88947678,411,4,4.33E-09
2011,540.11,Acute appendicitis,7063131,945,13,19.13156509
2011,601.4,Balanoposthitis,186493.2969,8040,99,0.000205997
2011,257,Testicular dysfunction,145400.5469,99,0,100.6752625
2011,756.2,Pectus excavatum and other congenital anomalies of ribs/sternum,166376.4844,258,3,0.16805464
2011,368.3,Anisometropia,47852.17578,39,1,0.274015903
2011,396,Abnormal heart sounds,2770052,53,1,675.7193604
2011,189.4,Malignant neoplasm of other urinary organs,221231.1563,272,7,0.121020608
2011,260.2,severe protein-calorie malnutrition,245313.9219,111,1,2.530641079
2011,596.1,Bladder neck obstruction,455020.0938,108,2,4.496460915
2011,704.2,Hirsutism,195904.6094,79,1,2.267543316
2011,628,Ovarian cyst,7949779,741,8,50.20224762
2011,531,Peptic ulcer (excl. esophageal),502.2404175,759,102,1.54E-08
2011,508,Pulmonary collapse; interstitial and compensatory emphysema,929067.25,93,3,14.53676891
2011,740,Osteoarthrosis,17804.75391,1132,149,8.86E-06
2011,716.2,Unspecified monoarthritis,76360.22656,1098,205,0.00012213
2011,427,Cardiac dysrhythmias,333.8479614,1321,28,1.42E-08
2011,170,Cancer of bone and connective tissue,1597.377686,1920,15,4.17E-07
2011,500,Lung disease due to external agents,75717.39063,8433,93,3.45E-05
2011,395.3,Nonrheumatic tricuspid valve disorders,705007.3125,550,13,0.327498317
2011,498,Acute bronchospasm,568934.1875,25,2,30.35875893
2011,601.8,Other inflammatory disorders of male genital organs,223329.4688,8052,99,0.00029497
2011,573.4,Acute and subacute necrosis of liver,202916.3594,302,4,0.1603017
2011,635.3,Placenta previa and abruptio placenta,296893.375,273,9,0.168953568
2011,194,Cancer of other endocrine glands,588121.25,1333,19,0.064355835
2011,663,Umbilical cord complications during labor and delivery,1640558.125,7,0,181023.4844
2011,452.8,Postphlebitic syndrome,43100.71094,0,4,218.4209137
2011,327.7,Sleep related movement disorders,141907.625,58,1,1.620529532
2011,614.52,Vaginitis and vulvovaginitis,4415558,13,1,6995.878418
2011,522,Diseases of pulp and periapical tissues,30624.61523,275,7,0.002293742
2011,721.2,Spondylosis with myelopathy,2667643.5,180,3,61.92445374
2011,574.12,Cholelithiasis with other cholecystitis,8969062,277,12,114.0053482
2011,364,Corneal opacity and other disorders of cornea,180143,749,4,0.05094159
2011,270.3,Disorders of plasma protein metabolism,1750533.5,223,17,3.808745384
2011,415.2,Primary pulmonary hypertension,1546608.125,1274,71,0.1246631
2011,701,Other hypertrophic and atrophic conditions of skin,1105979.5,1103,12,0.435352892
2011,624.2,Atrophy of female genital tract,29211.11719,12,1,0.331666559
2011,242.1,Graves' disease,876895.3125,498,1,7.207850456
2011,433.3,Cerebral ischemia,447280.3125,2129,10,0.044260621
2011,433.32,Moyamoya disease,67203.77344,118,0,18.04422569
2011,818,Intracranial hemorrhage (injury),354822.625,12,0,4942.529785
2011,456,Chronic venous insufficiency [CVI],2564690.75,208,12,12.41402149
2011,288.2,Elevated white blood cell count,940965.625,314,13,1.021871805
2011,289.5,Diseases of spleen,177751.7969,181,0,82.29911804
2011,622.1,Polyp of corpus uteri,2742955,737,8,6.008985996
2011,130.1,Lyme disease,966869.25,243,3,6.025798798
2011,379.5,Disorders of iris and ciliary body,147439.8281,106,0,96.68353271
2011,840,Sprains and strains,19387632,150,7,1685.314819
2011,165,Cancer within the respiratory system,255248.8906,354,0,86.77245331
2011,367.1,Myopia,3453386.5,228,8,30.78744698
2011,202.24,Large cell lymphoma,748656.75,701,91,0.041421119
2011,800.1,Fracture of neck of femur,1811572.25,1284,28,0.430228829
2011,277.51,Lipoprotein disorders,2994208.5,103,3,136.3289032
2011,577.1,Acute pancreatitis,2036357,787,24,1.034677744
2011,276.4,Acid-base balance disorder,6342.450195,45,0,0.421380967
2011,368.1,Amblyopia,433970.2813,141,1,6.234741211
2011,269,Proteinuria,674228.125,804,6,0.443555027
2011,550.4,Umbilical hernia,4082048.5,99,4,197.8803253
2011,710.19,Unspecified osteomyelitis,1527763.875,427,2,12.82177067
2011,480.5,Bronchopneumonia and lung abscess,428704.0625,1828,56,0.00846332
2011,386.21,Central origin vertigo,203761.0469,260,4,0.187748984
2011,221,Benign neoplasm of other female genital organs,225177.9375,572,5,0.083421886
2011,31.1,Leprosy,4486.438477,275,0,0.034508385
2011,756,Other congenital musculoskeletal anomalies,388034.9063,1329,11,0.048517201
2011,695.42,Systemic lupus erythematosus,1499021.125,1582,30,0.223156705
2011,751.11,Congenital anomalies of female genital organs,434736.4063,14,0,6360.387695
2011,320,Meningitis,538434,1436,22,0.043247115
2011,686.1,Carbuncle and furuncle,493979.4375,25,0,4600.168945
2011,415.1,Pulmonary embolism and infarction,1700574.5,1027,13,1.020490885
2011,569.1,Toxic gastroenteritis and colitis,33351.26172,1223,55,7.80E-05
2011,557.8,Other specified intestinal malabsorption,147055.5313,9,0,1131.638306
2011,260,Protein-calorie malnutrition,654368.25,106,1,18.85584259
2011,411.3,Angina pectoris,3594760.25,442,24,5.740970612
2011,703,Diseases of nail,156097.8438,179,0,64.17800903
2011,722.9,Other and unspecified disc disorder,1367111,81,0,10877.74023
2011,184.11,Malignant neoplasm of ovary,4398671,2763,96,0.343885422
2011,531.1,Hemorrhage from gastrointestinal ulcer,897680.75,69,5,10.98914051
2011,271.9,Other disorders of carbohydrate transport and metabolism,1321312.75,105,10,7.830981255
2011,297.1,Suicidal ideation,311374.0625,474,7,0.137571678
2011,38,Septicemia,7965991,229,4,325.7995911
2011,274,Gout and other crystal arthropathies,23.66802216,637,0,4.15E-07
2011,733.8,Malunion and nonunion of fracture,2166962.25,252,3,29.18691254
2011,751.2,Congenital anomalies of urinary system,176816.9375,68,0,216.7428131
2011,459.9,Circulatory disease NEC,501164.7813,4592,204,0.001264086
2011,911,Blister,110390.7578,169,2,0.169132337
2011,705.1,Dyshidrosis,159190.6875,5,0,2384.884033
2011,426.21,First degree AV block,173916.0156,109,6,0.217674762
2011,420.1,Myocarditis,123333.7656,800,6,0.014916393
2011,246.7,Abnormal results of function study of thyroid,353075.2188,17,2,17.19110298
2011,573.3,Hepatomegaly,333361.1563,93,0,563.3392334
2011,1005,Other symptoms,1597188.625,4710,7,0.364285886
2011,871.1,Open wound of hand except finger(s),1631089.625,225,1,55.19530487
2011,279.2,Autoimmune disease NEC,327265.2813,102,1,4.901233673
